No.,Sector,Sub Industry Code,Sub Industry,Code,Stock Name,Sharia,FS Date,Fiscal Year End,Type of FS,Auditor's Opinion,"Assets, b.IDR","Liabilities, b.IDR","Equity, b.IDR","Sales, b.IDR","EBT, b.IDR",Profit for the Period,Profit attr.to owner's,"EPS, IDR","Book Value, IDR","P/E Ratio, x","Price to BV, x","D/E Ratio, x","ROA, %","ROE, %","NPM, %",Harga Saham
1.00,Energy,A121,Coal Production,ADMR,Adaro Minerals Indonesia Tbk,S,06/30/2022,Dec,LR,,16960.16,10885.54,6074.62,6483.46,3926.35,3037.55,3006.19,115.51,148.59,15.8,12.11,1.79,28,78,73,1799.4249
2.00,Energy,A121,Coal Production,ADRO,Adaro Energy Indonesia Tbk,S,06/30/2022,Dec,LR,,130793.6,48844.18,81949.41,52702.34,30378.02,20022.27,18046.78,563.32,2562.04,6.28,1.38,0.6,22,35,55,3535.6152
3.00,Energy,A121,Coal Production,AIMS,Akbar Indo Makmur Stimec Tbk,S,06/30/2022,Dec,U,,34.62,16.73,17.88,20.46,2.49,2.49,2.49,20.9,81.28,11.87,2.98,0.94,13,26,22,242.2144
4.00,Energy,A112,Oil & Gas Storage & Distribution,AKRA,AKR Corporindo Tbk,S,06/30/2022,Dec,U,,27834.66,15843.1,11991.55,22109.45,1175.72,927.41,955.46,75.56,597.38,17.8,2.26,1.32,5,13,7,1350.0788
5.00,Energy,A131,Oil & Gas Drilling Service,APEX,Apexindo Pratama Duta Tbk,S,06/30/2022,Dec,U,,5279.11,3295.42,1983.69,695.5,44.06,31.95,31.95,20.53,709.27,17.92,0.49,1.66,1,3,8,347.5423
6.00,Energy,A121,Coal Production,ARII,Atlas Resources Tbk,S,06/30/2022,Dec,U,,5263.5,4411.02,852.47,1371.76,296.49,254.57,219.2,15.05,272.27,14.36,0.79,5.17,4,28,17,215.0933
7.00,Energy,A132,"Oil, Gas & Coal Equipment & Services",ARTI,Ratu Prabu Energi Tbk,S,03/31/2022,Dec,U,,637.2,741.61,-104.41,1.52,-6.55,-6.04,-5.99,-14.02,-13.32,-3.57,-3.75,-7.1,-17,0,-7227,49.95
8.00,Energy,A122,Coal Distribution,BBRM,Pelayaran Nasional Bina Buana Raya Tbk,S,06/30/2022,Dec,U,,532.81,162.08,370.73,63.61,-2.37,-3.17,-3.17,0.58,43.72,85.9,1.14,0.44,1,1,8,49.8408
9.00,Energy,A122,Coal Distribution,BESS,Batulicin Nusantara Maritim Tbk,S,06/30/2022,Dec,U,,724.35,262.85,461.49,211.26,30.53,28.94,28.94,21.8,134.43,9.36,1.47,0.57,10,16,35,197.6121
10.00,Energy,A111,Oil & Gas Production & Refinery,BIPI,Astrindo Nusantara Infrastruktur Tbk,S,06/30/2022,Dec,LR,,13716.73,7862.12,5854.61,201.15,52.42,34.49,17.2,2.25,101.08,63.69,1.4,1.34,1,2,65,141.512
11.00,Energy,A121,Coal Production,BOSS,Borneo Olah Sarana Sukses Tbk,S,06/30/2022,Dec,U,,674.12,732.14,-58.03,192.15,19.99,19.99,19.99,-61.87,-41.45,-1.33,-2,-12.62,-13,0,-45,82.9
12.00,Energy,A122,Coal Distribution,BSML,Bintang Samudera Mandiri Lines Tbk,S,06/30/2022,Dec,U,,262.78,160.55,102.23,110.55,8.96,7.68,7.67,5.33,55.25,169.8,16.29,1.57,4,10,9,900.0225
13.00,Energy,A121,Coal Production,BSSR,Baramulti Suksessarana Tbk,S,06/30/2022,Dec,LR,,6252.87,1695.28,4557.59,6329.14,2463.05,1912.9,1912.89,1631.56,1741.87,2.66,2.49,0.37,68,94,67,4337.2563
14.00,Energy,A112,Oil & Gas Storage & Distribution,BULL,Buana Lintas Lautan Tbk,S,03/31/2022,Dec,U,,7087.48,5624.24,1463.24,390.9,-221.53,-222.56,-222.03,-230.38,103.64,-0.73,1.63,3.84,-46,-222,-832,168.9332
