No.,Sector,Sub Industry Code,Sub Industry,Code,Stock Name,Sharia,FS Date,Fiscal Year End,Type of FS,Auditor's Opinion,"Assets, b.IDR","Liabilities, b.IDR","Equity, b.IDR","Sales, b.IDR","EBT, b.IDR",Profit for the Period,Profit attr.to owner's,"EPS, IDR","Book Value, IDR","P/E Ratio, x","Price to BV, x","D/E Ratio, x","ROA, %","ROE, %","NPM, %",Harga Saham
1.00,Energy,A121,Coal Production,ADMR,Adaro Minerals Indonesia Tbk,S,06/30/2022,Dec,LR,,"16,960.16","10,885.54","6,074.62","6,483.46","3,926.35","3,037.55","3,006.19",115.51,148.59,15.80,12.11,1.79,28.00,78.00,73.00,1799.42
2.00,Energy,A121,Coal Production,ADRO,Adaro Energy Indonesia Tbk,S,06/30/2022,Dec,LR,,"130,793.60","48,844.18","81,949.41","52,702.34","30,378.02","20,022.27","18,046.78",563.32,"2,562.04",6.28,1.38,0.60,22.00,35.00,55.00,3535.62
3.00,Energy,A121,Coal Production,AIMS,Akbar Indo Makmur Stimec Tbk,S,06/30/2022,Dec,U,,34.62,16.73,17.88,20.46,2.49,2.49,2.49,20.90,81.28,11.87,2.98,0.94,13.00,26.00,22.00,242.21
4.00,Energy,A112,Oil & Gas Storage & Distribution,AKRA,AKR Corporindo Tbk,S,06/30/2022,Dec,U,,"27,834.66","15,843.10","11,991.55","22,109.45","1,175.72",927.41,955.46,75.56,597.38,17.80,2.26,1.32,5.00,13.00,7.00,1350.08
5.00,Energy,A131,Oil & Gas Drilling Service,APEX,Apexindo Pratama Duta Tbk,S,06/30/2022,Dec,U,,"5,279.11","3,295.42","1,983.69",695.50,44.06,31.95,31.95,20.53,709.27,17.92,0.49,1.66,1.00,3.00,8.00,347.54
6.00,Energy,A121,Coal Production,ARII,Atlas Resources Tbk,S,06/30/2022,Dec,U,,"5,263.50","4,411.02",852.47,"1,371.76",296.49,254.57,219.20,15.05,272.27,14.36,0.79,5.17,4.00,28.00,17.00,215.09
7.00,Energy,A132,"Oil, Gas & Coal Equipment & Services",ARTI,Ratu Prabu Energi Tbk,S,03/31/2022,Dec,U,,637.20,741.61,-104.41,1.52,-6.55,-6.04,-5.99,-14.02,-13.32,-3.57,-3.75,-7.10,-17.00,0.00,"-7,227.00",49.95
8.00,Energy,A122,Coal Distribution,BBRM,Pelayaran Nasional Bina Buana Raya Tbk,S,06/30/2022,Dec,U,,532.81,162.08,370.73,63.61,-2.37,-3.17,-3.17,0.58,43.72,85.90,1.14,0.44,1.00,1.00,8.00,49.84
9.00,Energy,A122,Coal Distribution,BESS,Batulicin Nusantara Maritim Tbk,S,06/30/2022,Dec,U,,724.35,262.85,461.49,211.26,30.53,28.94,28.94,21.80,134.43,9.36,1.47,0.57,10.00,16.00,35.00,197.61
10.00,Energy,A111,Oil & Gas Production & Refinery,BIPI,Astrindo Nusantara Infrastruktur Tbk,S,06/30/2022,Dec,LR,,"13,716.73","7,862.12","5,854.61",201.15,52.42,34.49,17.20,2.25,101.08,63.69,1.40,1.34,1.00,2.00,65.00,141.51
